name,bpi_name,kpom_name,bm_name
Mount St. Mary's,Mount St Mary's,Mount St. Mary's,Mount St. Mary's
Murray St.,Murray State,Murray St.,
NJIT,N.J.I.T.,NJIT,
Navy,Navy,Navy,
Nebraska,Nebraska,Nebraska,Nebraska
Nebraska Omaha,Omaha,Nebraska Omaha,
Nevada,Nevada,Nevada,
New Hampshire,New Hampshire,New Hampshire,
New Mexico,New Mexico,New Mexico,New Mexico
New Mexico St.,New Mexico St,New Mexico St.,New Mexico State
New Orleans,New Orleans,New Orleans,
Niagara,Niagara,Niagara,
Nicholls St.,Nicholls State,Nicholls St.,
Norfolk St.,Norfolk State,Norfolk St.,
North Carolina,North Carolina,North Carolina,North Carolina
North Carolina A&T,N Carolina A&T,North Carolina A&T,
North Carolina Central,N Carolina Cent,North Carolina Central,North Carolina Central
North Carolina St.,NC State,North Carolina St.,North Carolina State
North Dakota,North Dakota,North Dakota,
North Dakota St.,North Dakota St,North Dakota St.,North Dakota State
North Florida,North Florida,North Florida,
North Texas,North Texas,North Texas,
Northeastern,Northeastern,Northeastern,
Northern Arizona,N Arizona,Northern Arizona,
Northern Colorado,N Colorado,Northern Colorado,
Northern Illinois,N Illinois,Northern Illinois,
Northern Iowa,Northern Iowa,Northern Iowa,
Northern Kentucky,NKU,Northern Kentucky,
Northwestern,Northwestern,Northwestern,
Northwestern St.,Northwestern St,Northwestern St.,
Notre Dame,Notre Dame,Notre Dame,
Oakland,Oakland,Oakland,
Ohio,Ohio,Ohio,
Ohio St.,Ohio State,Ohio St.,Ohio State
Oklahoma,Oklahoma,Oklahoma,Oklahoma
Oklahoma St.,Oklahoma State,Oklahoma St.,Oklahoma State
Old Dominion,Old Dominion,Old Dominion,
Oral Roberts,Oral Roberts,Oral Roberts,
Oregon,Oregon,Oregon,Oregon
Oregon St.,Oregon State,Oregon St.,
Pacific,Pacific,Pacific,
Penn,Pennsylvania,Penn,
Penn St.,Penn State,Penn St.,
Pepperdine,Pepperdine,Pepperdine,
Pittsburgh,Pittsburgh,Pittsburgh,Pittsburgh
Portland,Portland,Portland,
Portland St.,Portland State,Portland St.,
Prairie View A&M,PV A&M,Prairie View A&M,
Presbyterian,Presbyterian,Presbyterian,
Princeton,Princeton,Princeton,
Providence,Providence,Providence,Providence
Purdue,Purdue,Purdue,
Quinnipiac,Quinnipiac,Quinnipiac,
Radford,Radford,Radford,
Rhode Island,Rhode Island,Rhode Island,
Rice,Rice,Rice,
Richmond,Richmond,Richmond,
Rider,Rider,Rider,
Robert Morris,Robert Morris,Robert Morris,
Rutgers,Rutgers,Rutgers,
SIU Edwardsville,SIU Edwardsville,SIU Edwardsville,
SMU,SMU,SMU,
Sacramento St.,Sacramento St,Sacramento St.,
Sacred Heart,Sacred Heart,Sacred Heart,
Saint Joseph's,Saint Joseph's,Saint Joseph's,St. Joseph's
Saint Louis,Saint Louis,Saint Louis,Saint Louis
Saint Mary's,Saint Mary's,Saint Mary's,
Saint Peter's,St. Peter's,Saint Peter's,
Sam Houston St.,Sam Houston,Sam Houston St.,
Samford,Samford,Samford,
San Diego,San Diego,San Diego,
San Diego St.,San Diego State,San Diego St.,San Diego State
San Francisco,San Francisco,San Francisco,
San Jose St.,San Jose State,San Jose St.,
Santa Clara,Santa Clara,Santa Clara,
Savannah St.,Savannah State,Savannah St.,
Seattle,Seattle U,Seattle,
Seton Hall,Seton Hall,Seton Hall,
Siena,Siena,Siena,
South Alabama,South Alabama,South Alabama,
South Carolina,South Carolina,South Carolina,
South Carolina St.,S Carolina St,South Carolina St.,
South Dakota,South Dakota,South Dakota,
South Dakota St.,South Dakota St,South Dakota St.,
South Florida,South Florida,South Florida,
Southeast Missouri St.,SE Missouri St,Southeast Missouri St.,
Southeastern Louisiana,SE Louisiana,Southeastern Louisiana,
Southern,Southern,Southern,
Southern Illinois,S Illinois,Southern Illinois,
Southern Miss,Southern Miss,Southern Miss,Southern Miss
Southern Utah,Southern Utah,Southern Utah,
St. Bonaventure,St. Bonaventure,St. Bonaventure,
St. Francis NY,St Francis (NY),St. Francis NY,
St. Francis PA,St Francis (PA),St. Francis PA,
St. John's,St. John's,St. John's,St. John's
Stanford,Stanford,Stanford,Stanford
Stephen F. Austin,SF Austin,Stephen F. Austin,Stephen F. Austin
Stetson,Stetson,Stetson,
Stony Brook,Stony Brook,Stony Brook,
Syracuse,Syracuse,Syracuse,Syracuse
TCU,TCU,TCU,
Temple,Temple,Temple,
Tennessee,Tennessee,Tennessee,Tennessee
Tennessee Martin,UT Martin,Tennessee Martin,
Tennessee St.,Tenn St,Tennessee St.,
Tennessee Tech,Tenn Tech,Tennessee Tech,
Texas,Texas,Texas,Texas
Texas A&M,Texas A&M,Texas A&M,
Texas A&M Corpus Chris,Texas A&M-CC,Texas A&M Corpus Chris,
Texas Pan American,TX-Pan American,Texas Pan American,
Texas Southern,Texas Southern,Texas Southern,Texas Southern
Texas St.,Texas State,Texas St.,
Texas Tech,Texas Tech,Texas Tech,
The Citadel,The Citadel,The Citadel,
Toledo,Toledo,Toledo,Toledo
Towson,Towson,Towson,
Troy,Troy,Troy,
Tulane,Tulane,Tulane,
Tulsa,Tulsa,Tulsa,Tulsa
UAB,UAB,UAB,
UC Davis,UC Davis,UC Davis,
UC Irvine,UC Irvine,UC Irvine,
UC Riverside,UC Riverside,UC Riverside,
UC Santa Barbara,UC Santa Barbara,UC Santa Barbara,
UCF,UCF,UCF,
UCLA,UCLA,UCLA,UCLA
UIC,UIC,Illinois Chicago,
UMBC,UMBC,UMBC,
UMKC,UMKC,UMKC,
UMass Lowell,UMass Lowell,UMass Lowell,
UNC Asheville,UNC Asheville,UNC Asheville,
UNC Greensboro,UNC Greensboro,UNC Greensboro,
UNC Wilmington,UNC-Wilmington,UNC Wilmington,
UNLV,UNLV,UNLV,
USC,USC,USC,
USC Upstate,USC Upstate,USC Upstate,
UT Arlington,TX-Arlington,UT Arlington,
UTEP,UTEP,UTEP,
UTSA,UTSA,UTSA,
Utah,Utah,Utah,
Utah St.,Utah State,Utah St.,
Utah Valley,Utah Valley,Utah Valley,
VCU,VCU,VCU,Virginia Commonwealth
VMI,VMI,VMI,
Valparaiso,Valparaiso,Valparaiso,
Vanderbilt,Vanderbilt,Vanderbilt,
Vermont,Vermont,Vermont,
Villanova,Villanova,Villanova,Villanova
Virginia,Virginia,Virginia,Virginia
Virginia Tech,Virginia Tech,Virginia Tech,
Wagner,Wagner,Wagner,
Wake Forest,Wake Forest,Wake Forest,
Washington,Washington,Washington,
Washington St.,Washington St,Washington St.,
Weber St.,Weber State,Weber St.,Weber State
West Virginia,West Virginia,West Virginia,
Western Carolina,W Carolina,Western Carolina,
Western Illinois,W Illinois,Western Illinois,
Western Kentucky,W Kentucky,Western Kentucky,
Western Michigan,W Michigan,Western Michigan,Western Michigan
Wichita St.,Wichita State,Wichita St.,Wichita State
William & Mary,William & Mary,William & Mary,
Winthrop,Winthrop,Winthrop,
Wisconsin,Wisconsin,Wisconsin,Wisconsin
Wofford,Wofford,Wofford,Wofford
Wright St.,Wright State,Wright St.,
Wyoming,Wyoming,Wyoming,
Xavier,Xavier,Xavier,Xavier
Yale,Yale,Yale,
Youngstown St.,Youngstown St,Youngstown St.,
